nohup: ignoring input
🚀 自动备份哨兵已启动...
✅ 已备份当前权重: sl_checkpoint_20260212_082155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_085155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_092155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_095155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_102155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_105155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_112155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_115155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_122155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_125155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_132155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_135155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_142155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_145155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_152155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_155155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_162155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_165155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_172155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_175155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_182155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_185155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_192155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_195155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_202155.pt
✅ 已备份当前权重: sl_checkpoint_20260212_205156.pt
✅ 已备份当前权重: sl_checkpoint_20260212_212156.pt
✅ 已备份当前权重: sl_checkpoint_20260212_215156.pt
✅ 已备份当前权重: sl_checkpoint_20260212_222156.pt
✅ 已备份当前权重: sl_checkpoint_20260212_225156.pt
✅ 已备份当前权重: sl_checkpoint_20260212_232156.pt
✅ 已备份当前权重: sl_checkpoint_20260212_235156.pt
✅ 已备份当前权重: sl_checkpoint_20260213_002156.pt
✅ 已备份当前权重: sl_checkpoint_20260213_005156.pt
✅ 已备份当前权重: sl_checkpoint_20260213_012156.pt
✅ 已备份当前权重: sl_checkpoint_20260213_015156.pt
✅ 已备份当前权重: sl_checkpoint_20260213_022156.pt
✅ 已备份当前权重: sl_checkpoint_20260213_025156.pt
✅ 已备份当前权重: sl_checkpoint_20260213_032156.pt
✅ 已备份当前权重: sl_checkpoint_20260213_035156.pt
✅ 已备份当前权重: sl_checkpoint_20260213_042156.pt
✅ 已备份当前权重: sl_checkpoint_20260213_045156.pt
✅ 已备份当前权重: sl_checkpoint_20260213_052156.pt
✅ 已备份当前权重: sl_checkpoint_20260213_055156.pt
✅ 已备份当前权重: sl_checkpoint_20260213_062156.pt
✅ 已备份当前权重: sl_checkpoint_20260213_065156.pt
✅ 已备份当前权重: sl_checkpoint_20260213_072156.pt
✅ 已备份当前权重: sl_checkpoint_20260213_075156.pt
